DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0001-IDN,No,No,No,,,,,,12000.0,19358.0,61.98958593432169
2004-0004-ASM,No,No,Yes,,,,,,150000.0,241976.0,61.98958593432169
2004-0004-NIU,No,No,No,,,,,,40000.0,64527.0,61.98958593432169
2004-0004-TON,No,No,No,,,,,,,,61.98958593432169
2004-0004-WSM,No,No,Yes,,,,,,,,61.98958593432169
2004-0006-BDI,No,No,No,,,,,,,,61.98958593432169
2004-0010-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0011-DZA,No,No,No,,,,,,,,61.98958593432169
2004-0012-IRN,No,No,No,,,,,,,,61.98958593432169
2004-0012-IRQ,No,No,No,,,,,,,,61.98958593432169
2004-0019-AGO,No,No,No,,,,,,,,61.98958593432169
2004-0022-AFG,No,No,No,,,,,,,,61.98958593432169
2004-0026-CYP,No,No,No,,,,,,,,61.98958593432169
2004-0026-EGY,No,No,No,,,,,,,,61.98958593432169
2004-0026-GRC,No,No,No,,,,,,,,61.98958593432169
2004-0026-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0028-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0029-MDG,Yes,Yes,No,428.0,,,,,,,61.98958593432169
2004-0031-CAN,No,No,No,,,,,,100000.0,161317.0,61.98958593432169
2004-0031-USA,No,No,Yes,,,,,,60000.0,96790.0,61.98958593432169
2004-0033-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0040-IDN,Yes,No,No,211.0,,,41.0,66.0,1000.0,1613.0,61.98958593432169
2004-0050-MYS,No,No,No,,,,,,,,61.98958593432169
2004-0054-PAK,Yes,No,No,90.0,,,,,,,61.98958593432169
2004-0061-IDN,No,No,No,,,,,,3500.0,5646.0,61.98958593432169
2004-0062-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0067-NZL,No,No,Yes,,,,70000.0,112922.0,200000.0,322635.0,61.98958593432169
2004-0072-SYR,No,No,No,,,,,,,,61.98958593432169
2004-0073-MAR,Yes,No,No,13218.0,,,,,400000.0,645270.0,61.98958593432169
2004-0074-CAN,No,No,Yes,,,,,,,,61.98958593432169
2004-0080-VUT,Yes,No,No,123.0,,,,,,,61.98958593432169
2004-0084-IRN,No,No,No,,,,,,240.0,387.0,61.98958593432169
2004-0087-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0088-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0091-AUS,No,No,No,,,,,,32000.0,51622.0,61.98958593432169
2004-0098-IDN,No,No,No,,,,,,60000.0,96790.0,61.98958593432169
2004-0102-ARM,No,No,No,,,,,,,,61.98958593432169
2004-0102-GEO,No,No,No,,,,,,,,61.98958593432169
2004-0102-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0103-MDG,Yes,Yes,No,12266.0,,,,,250000.0,403294.0,61.98958593432169
2004-0104-PNG,No,No,No,,,,,,,,61.98958593432169
2004-0105-BDI,No,No,No,,,,,,,,61.98958593432169
2004-0108-KAZ,No,No,No,,,,,,,,61.98958593432169
2004-0111-BDI,No,No,No,,,,,,,,61.98958593432169
2004-0119-MYS,No,No,No,,,,,,,,61.98958593432169
2004-0120-KOR,No,No,Yes,,,,,,570000.0,919509.0,61.98958593432169
2004-0121-USA,No,No,No,,,,200000.0,322635.0,300000.0,483952.0,61.98958593432169
2004-0123-KOR,No,No,No,,,,,,,,61.98958593432169
2004-0126-CHN,No,No,No,,,,,,74000.0,119375.0,61.98958593432169
2004-0127-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0129-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0131-BRA,No,No,No,,,,3000.0,4840.0,350000.0,564611.0,61.98958593432169
2004-0132-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0141-MEX,No,No,Yes,,,,,,,,61.98958593432169
2004-0144-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0145-ESP,No,No,No,,,,,,14285.0,23044.0,61.98958593432169
2004-0146-CAN,No,No,No,,,,,,,,61.98958593432169
2004-0146-USA,No,No,Yes,,,,,,4500.0,7259.0,61.98958593432169
2004-0147-TJK,No,No,No,,,,,,,,61.98958593432169
2004-0149-NAM,No,No,No,,,,,,,,61.98958593432169
2004-0150-FSM,No,No,Yes,7494.0,,,,,,,61.98958593432169
2004-0152-KEN,No,No,No,,,,,,,,61.98958593432169
2004-0153-FJI,No,No,No,,,,,,4000.0,6453.0,61.98958593432169
2004-0156-PER,No,No,No,,,,,,,,61.98958593432169
2004-0158-DJI,Yes,No,No,,,,,,,,61.98958593432169
2004-0159-AGO,No,No,No,,,,,,,,61.98958593432169
2004-0159-BWA,No,No,No,,,,,,,,61.98958593432169
2004-0159-NAM,No,No,No,26.0,,,,,,,61.98958593432169
2004-0159-ZMB,No,No,No,43.0,,,,,,,61.98958593432169
2004-0163-BIH,No,No,Yes,45.0,,,,,,,61.98958593432169
2004-0164-RUS,No,No,No,,,,,,1797.0,2899.0,61.98958593432169
2004-0166-BGD,No,Yes,No,,,,,,,,61.98958593432169
2004-0169-BIH,No,No,No,,,,,,,,61.98958593432169
2004-0172-RUS,No,No,Yes,,,,16000.0,25811.0,50000.0,80659.0,61.98958593432169
2004-0173-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0177-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0178-IND,No,No,No,,,,,,,,61.98958593432169
2004-0179-KGZ,No,No,No,,,,,,,,61.98958593432169
2004-0180-SAU,No,No,No,,,,,,,,61.98958593432169
2004-0182-CHN,No,No,No,,,,,,6000.0,9679.0,61.98958593432169
2004-0192-KGZ,No,Yes,No,46.0,,,,,,,61.98958593432169
2004-0194-KEN,No,No,No,,,,,,,,61.98958593432169
2004-0196-USA,No,No,No,,,,,,,,61.98958593432169
2004-0200-PER,No,No,No,,,,,,,,61.98958593432169
2004-0201-DZA,No,No,No,,,,,,,,61.98958593432169
2004-0202-COL,No,No,No,,,,,,,,61.98958593432169
2004-0208-RUS,No,No,No,,,,,,,,61.98958593432169
2004-0209-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0214-CRI,No,No,No,,,,,,,,61.98958593432169
2004-0218-PHL,No,No,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0231-DOM,Yes,No,No,,,,,,,,61.98958593432169
2004-0231-HTI,Yes,No,No,,,,,,,,61.98958593432169
2004-0231-PRI,No,No,No,,,,,,,,61.98958593432169
2004-0233-SEN,No,No,No,,,,,,,,61.98958593432169
2004-0234-IRN,No,No,No,,,,59000.0,95177.0,165000.0,266174.0,61.98958593432169
2004-0235-MMR,No,Yes,No,264.0,,,,,688.0,1110.0,61.98958593432169
2004-0236-BRA,No,No,Yes,,,,,,370.0,597.0,61.98958593432169
2004-0244-THA,No,No,No,,,,,,,,61.98958593432169
2004-0245-USA,No,No,No,,,,800000.0,1290539.0,1100000.0,1774492.0,61.98958593432169
2004-0247-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0248-USA,No,No,No,,,,,,,,61.98958593432169
2004-0249-USA,No,No,Yes,,,,450000.0,725928.0,700000.0,1129222.0,61.98958593432169
2004-0250-RUS,No,No,No,,,,,,,,61.98958593432169
2004-0251-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0252-MKD,No,No,No,30.0,,,,,3600.0,5807.0,61.98958593432169
2004-0257-ROU,No,No,No,,,,,,,,61.98958593432169
2004-0258-THA,No,No,No,,,,,,,,61.98958593432169
2004-0258-VNM,No,No,No,,,,,,7000.0,11292.0,61.98958593432169
2004-0259-MEX,No,No,No,,,,,,3600.0,5807.0,61.98958593432169
2004-0266-RUS,No,No,No,,,,,,,,61.98958593432169
2004-0267-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0268-NGA,No,No,No,,,,,,,,61.98958593432169
2004-0269-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0274-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0276-JPN,No,No,No,,,,,,,,61.98958593432169
2004-0276-KOR,No,No,No,,,,,,,,61.98958593432169
2004-0280-NIC,Yes,Yes,Yes,470.0,,,,,,,61.98958593432169
2004-0284-CHN,No,No,No,,,,,,361000.0,582356.0,61.98958593432169
2004-0286-BGD,No,No,No,,,,,,,,61.98958593432169
2004-0287-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0289-NIC,No,No,No,,,,,,,,61.98958593432169
2004-0292-CHN,No,No,No,,,,,,280.0,452.0,61.98958593432169
2004-0293-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0294-FJI,No,No,No,,,,,,,,61.98958593432169
2004-0298-BGD,Yes,Yes,No,105181.0,,,,,2200000.0,3548983.0,61.98958593432169
2004-0298-BTN,No,No,No,,,,,,,,61.98958593432169
2004-0298-IND,No,No,No,3470.0,,,,,2500000.0,4032935.0,61.98958593432169
2004-0298-NPL,Yes,No,No,797.0,,,,,,,61.98958593432169
2004-0298-PAK,No,No,No,,,,,,,,61.98958593432169
2004-0299-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0300-GMB,Yes,No,No,,,,,,,,61.98958593432169
2004-0301-CHN,No,No,No,,,,,,12700.0,20487.0,61.98958593432169
2004-0302-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0303-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0306-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0307-ARG,No,No,No,,,,,,,,61.98958593432169
2004-0307-CHL,No,No,No,,,,,,,,61.98958593432169
2004-0308-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0309-PHL,No,No,No,,,,,,19667.0,31726.0,61.98958593432169
2004-0309-TWN,Yes,No,No,,,,,,400000.0,645270.0,61.98958593432169
2004-0310-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0311-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0312-GUM,No,No,Yes,,,,,,,,61.98958593432169
2004-0312-MNP,No,No,No,,,,,,,,61.98958593432169
2004-0315-NGA,No,No,No,,,,,,,,61.98958593432169
2004-0317-BRA,No,No,No,,,,,,,,61.98958593432169
2004-0321-IND,No,No,No,,,,,,,,61.98958593432169
2004-0325-CHN,No,No,No,,,,,,53500.0,86305.0,61.98958593432169
2004-0328-VNM,No,No,No,,,,,,,,61.98958593432169
2004-0331-ARG,No,No,No,,,,,,,,61.98958593432169
2004-0331-BRA,No,No,No,,,,,,,,61.98958593432169
2004-0331-CHL,No,No,No,,,,,,,,61.98958593432169
2004-0331-PER,No,No,Yes,405.0,,,,,,,61.98958593432169
2004-0331-PRY,No,No,No,,,,,,,,61.98958593432169
2004-0331-URY,No,No,No,,,,,,,,61.98958593432169
2004-0333-ALB,No,No,No,,,,,,,,61.98958593432169
2004-0333-MKD,No,No,No,,,,,,,,61.98958593432169
2004-0333-ROU,No,No,No,,,,,,,,61.98958593432169
2004-0336-ROU,No,No,No,,,,,,,,61.98958593432169
2004-0338-USA,No,No,No,,,,,,170.0,274.0,61.98958593432169
2004-0339-JPN,No,No,No,,,,279000.0,450076.0,1950000.0,3145690.0,61.98958593432169
2004-0342-TJK,Yes,Yes,No,842.0,,,,,12000.0,19358.0,61.98958593432169
2004-0346-CAN,No,No,Yes,,,,110000.0,177449.0,200000.0,322635.0,61.98958593432169
2004-0348-USA,No,No,No,,,,,,,,61.98958593432169
2004-0349-AFG,No,No,No,18.0,,,,,,,61.98958593432169
2004-0352-JPN,No,No,No,,,,,,,,61.98958593432169
2004-0354-VNM,No,No,No,,,,,,8000.0,12905.0,61.98958593432169
2004-0356-ROU,No,No,No,,,,,,,,61.98958593432169
2004-0361-ESP,No,No,No,,,,,,,,61.98958593432169
2004-0361-SPI,No,No,No,,,,,,,,61.98958593432169
2004-0365-ROU,No,No,No,,,,,,,,61.98958593432169
2004-0369-HUN,No,No,No,,,,,,,,61.98958593432169
2004-0369-POL,No,No,No,,,,,,,,61.98958593432169
2004-0369-SVK,No,No,No,,,,,,,,61.98958593432169
2004-0372-CHN,No,No,No,,,,3000.0,4840.0,1100000.0,1774492.0,61.98958593432169
2004-0373-ESP,No,No,No,,,,2000.0,3226.0,3000.0,4840.0,61.98958593432169
2004-0381-KOR,No,No,No,,,,,,5548.0,8950.0,61.98958593432169
2004-0381-PRK,No,No,No,,,,,,20000.0,32263.0,61.98958593432169
2004-0383-PRT,No,No,No,,,,,,,,61.98958593432169
2004-0387-KGZ,No,No,No,,,,,,,,61.98958593432169
2004-0388-RUS,No,No,No,,,,,,6000.0,9679.0,61.98958593432169
2004-0394-ERI,No,No,No,,,,,,,,61.98958593432169
2004-0398-ZAF,No,No,No,,,,,,,,61.98958593432169
2004-0400-AUS,No,No,No,,,,,,,,61.98958593432169
2004-0401-GEO,Yes,No,No,,,,,,2156.0,3478.0,61.98958593432169
2004-0402-NGA,No,No,No,,,,,,,,61.98958593432169
2004-0403-MYS,No,No,No,,,,,,,,61.98958593432169
2004-0404-NZL,No,No,Yes,,,,,,45000.0,72593.0,61.98958593432169
2004-0406-CHN,No,No,No,,,,,,50000.0,80659.0,61.98958593432169
2004-0412-CHN,No,No,No,,,,,,2190000.0,3532851.0,61.98958593432169
2004-0413-NGA,No,No,No,,,,,,,,61.98958593432169
2004-0415-CUB,No,No,No,120.0,,,,,1000000.0,1613174.0,61.98958593432169
2004-0415-CYM,No,No,No,,,,,,5000.0,8066.0,61.98958593432169
2004-0415-JAM,No,No,No,,,,,,300000.0,483952.0,61.98958593432169
2004-0415-USA,No,No,Yes,,,,7600000.0,12260124.0,16000000.0,25810787.0,61.98958593432169
2004-0423-GBR,No,No,No,,,,,,96000.0,154865.0,61.98958593432169
2004-0424-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0426-COL,No,No,No,,,,,,,,61.98958593432169
2004-0427-FRA,No,No,No,,,,,,,,61.98958593432169
2004-0428-JPN,No,No,No,,,,,,500000.0,806587.0,61.98958593432169
2004-0428-KOR,No,No,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0434-NGA,No,No,No,,,,,,,,61.98958593432169
2004-0435-CHN,No,No,No,,,,,,5000.0,8066.0,61.98958593432169
2004-0435-JPN,No,No,No,,,,,,500.0,807.0,61.98958593432169
2004-0435-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0435-TWN,No,No,No,,,,,,5000.0,8066.0,61.98958593432169
2004-0436-AFG,No,No,No,,,,,,,,61.98958593432169
2004-0441-THA,No,No,No,,,,,,,,61.98958593432169
2004-0444-ROU,Yes,No,Yes,,,,,,,,61.98958593432169
2004-0445-GUM,No,No,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0445-JPN,No,No,No,,,,1200000.0,1935809.0,2000000.0,3226348.0,61.98958593432169
2004-0446-USA,No,No,No,,,,,,,,61.98958593432169
2004-0447-SLE,No,No,No,,,,,,,,61.98958593432169
2004-0448-USA,No,No,Yes,,,,62500.0,100823.0,62500.0,100823.0,61.98958593432169
2004-0454-RUS,No,No,No,,,,,,4962.0,8005.0,61.98958593432169
2004-0455-BHS,Yes,No,No,,,,230000.0,371030.0,1000000.0,1613174.0,61.98958593432169
2004-0455-DOM,No,No,No,,,,,,,,61.98958593432169
2004-0455-PRI,No,No,No,,,,,,,,61.98958593432169
2004-0455-TCA,No,No,No,,,,,,,,61.98958593432169
2004-0455-USA,No,No,Yes,,,,5000000.0,8065871.0,11000000.0,17744916.0,61.98958593432169
2004-0457-CHN,No,No,No,,,,,,471000.0,759805.0,61.98958593432169
2004-0459-JPN,No,No,No,,,,4700000.0,7581919.0,9000000.0,14518568.0,61.98958593432169
2004-0459-KOR,No,No,No,,,,,,250000.0,403294.0,61.98958593432169
2004-0459-RUS,No,No,No,,,,,,,,61.98958593432169
2004-0462-BHS,No,No,No,,,,,,,,61.98958593432169
2004-0462-BRB,No,No,No,,,,,,5000.0,8066.0,61.98958593432169
2004-0462-CUB,No,No,No,1703.0,,,,,200000.0,322635.0,61.98958593432169
2004-0462-CYM,No,No,No,,,,1500000.0,2419761.0,3430080.0,5533317.0,61.98958593432169
2004-0462-DOM,No,No,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0462-GRD,Yes,No,Yes,18254.0,,,,,889000.0,1434112.0,61.98958593432169
2004-0462-HTI,No,No,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0462-JAM,Yes,No,No,3345.0,,,200000.0,322635.0,595000.0,959839.0,61.98958593432169
2004-0462-LCA,No,No,No,,,,,,500.0,807.0,61.98958593432169
2004-0462-TTO,No,Yes,No,,,,,,1000.0,1613.0,61.98958593432169
2004-0462-USA,No,No,Yes,,,,12000000.0,19358090.0,18000000.0,29037135.0,61.98958593432169
2004-0462-VCT,No,No,No,,,,,,5000.0,8066.0,61.98958593432169
2004-0462-VEN,No,No,No,,,,,,,,61.98958593432169
2004-0463-IDN,No,No,No,,,,,,,,61.98958593432169
2004-0468-TWN,No,No,No,,,,,,2710.0,4372.0,61.98958593432169
2004-0470-BGD,No,No,No,,,,,,,,61.98958593432169
2004-0472-VNM,No,No,No,,,,,,,,61.98958593432169
2004-0473-BHS,No,No,No,,,,,,550000.0,887246.0,61.98958593432169
2004-0473-DOM,Yes,No,No,79.0,,,,,296000.0,477500.0,61.98958593432169
2004-0473-HTI,Yes,No,Yes,40208.0,,,,,50000.0,80659.0,61.98958593432169
2004-0473-PRI,No,No,Yes,,,,30000.0,48395.0,100000.0,161317.0,61.98958593432169
2004-0473-USA,No,No,Yes,,,,4900000.0,7904554.0,8000000.0,12905394.0,61.98958593432169
