DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0001-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,12000,19358,61.98958593432169
2004-0004-ASM,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,150000,241976,61.98958593432169
2004-0004-NIU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,40000,64527,61.98958593432169
2004-0004-TON,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0004-WSM,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0006-BDI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0010-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0011-DZA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0012-IRN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0012-IRQ,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0019-AGO,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0022-AFG,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0026-CYP,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0026-EGY,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0026-GRC,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0026-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0028-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0029-MDG,Yes,Yes,No,428,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0031-CAN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,100000,161317,61.98958593432169
2004-0031-USA,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,60000,96790,61.98958593432169
2004-0033-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0040-IDN,Yes,No,No,211,Unknown,Unknown,41,66,1000,1613,61.98958593432169
2004-0050-MYS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0054-PAK,Yes,No,No,90,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0061-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,3500,5646,61.98958593432169
2004-0062-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0067-NZL,No,No,Yes,Unknown,Unknown,Unknown,70000,112922,200000,322635,61.98958593432169
2004-0072-SYR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0073-MAR,Yes,No,No,13218,Unknown,Unknown,Unknown,Unknown,400000,645270,61.98958593432169
2004-0074-CAN,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0080-VUT,Yes,No,No,123,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0084-IRN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,240,387,61.98958593432169
2004-0087-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0088-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0091-AUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,32000,51622,61.98958593432169
2004-0098-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,60000,96790,61.98958593432169
2004-0102-ARM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0102-GEO,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0102-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0103-MDG,Yes,Yes,No,12266,Unknown,Unknown,Unknown,Unknown,250000,403294,61.98958593432169
2004-0104-PNG,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0105-BDI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0108-KAZ,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0111-BDI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0119-MYS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0120-KOR,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,570000,919509,61.98958593432169
2004-0121-USA,No,No,No,Unknown,Unknown,Unknown,200000,322635,300000,483952,61.98958593432169
2004-0123-KOR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0126-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,74000,119375,61.98958593432169
2004-0127-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0129-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0131-BRA,No,No,No,Unknown,Unknown,Unknown,3000,4840,350000,564611,61.98958593432169
2004-0132-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0141-MEX,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0144-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
